DE;MUN;DESC TIPOCLASSE;SERIE;GRAU;COD_ESCOLA;ESCOLA;CLASSES;ALUNOS
ARARAQUARA;ARARAQUARA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;38982;ANTONIO DOS SANTOS PROF;2;6
ARACATUBA;ARACATUBA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;30065;JOSE ARANTES TERRA PROF;3;12
ARACATUBA;ARACATUBA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;907236;MARIA DO CARMO LELIS PROFA;2;10
ASSIS;CANDIDO MOTA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;33030;RACHID JABUR;6;20
AVARE;ARANDU;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DV;10;14503;PEDRO BENTO ALVES;1;2
AVARE;CERQUEIRA CESAR;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;14527;JOSE LEITE PINHEIRO PROFESSOR;2;13
BARRETOS;BARRETOS;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;22329;PAULINA NUNES DE MORAES PROFESSORA;3;14
BARRETOS;BARRETOS;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;22391;SILVESTRE DE LIMA CORONEL;2;8
BARRETOS;OLIMPIA;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCAÇÃO ESPECIAL - DM;9;919664;ALZIRA TONELLI ZACCARELLI PROFESSORA;1;8
AVARE;AGUAS DE SANTA BARBARA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DA;7;14515;PAULO DELICIO;1;1
AVARE;AVARE;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;14461;PAULO ARAUJO NOVAES DOUTOR;2;12
AVARE;AVARE;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;14497;JOAO CRUZ CORONEL;2;11
AVARE;AVARE;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DA;7;14631;BENE ANDRADE DONA;1;1
AVARE;AVARE;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;14631;BENE ANDRADE DONA;2;8
AVARE;AVARE;CLASSE DE SALA DE RECURSO;ESPECTRO DO AUTISMO;39;14631;BENE ANDRADE DONA;2;3
ARARAQUARA;ARARAQUARA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;22147;LEA DE FREITAS MONTEIRO PROFA;3;11
ARARAQUARA;ARARAQUARA;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCAÇÃO ESPECIAL - DM;9;903358;LEONARDO BARBIERI DEPUTADO;2;3
AVARE;CERQUEIRA CESAR;CLASSE DE SALA DE RECURSO;ESPECTRO DO AUTISMO;39;14527;JOSE LEITE PINHEIRO PROFESSOR;1;2
AVARE;TAQUARITUBA;CLASSE DE SALA DE RECURSO;ESPECTRO DO AUTISMO;39;14540;JOSE PENNA;1;2
